,Month_Year,County,Year,Month,State,FIPS_Code,Dosage_Industry,Dosage_Purdue,MME_Industry,MME_Purdue,Volume_Industry,Volume_Purdue
67,2006m10,BALDWIN,2006,10,AL,AL003,567420.0,9600.0,4111137.9023999735,642790.5,5238358.399999999,478000.0
68,2006m10,BARBOUR,2006,10,AL,AL005,73790.0,660.0,504029.44499999995,33349.8,645675.0,24800.0
69,2006m10,BIBB,2006,10,AL,AL007,96550.0,2300.0,680777.7375000006,112959.0,907875.0,84000.0
70,2006m10,BLOUNT,2006,10,AL,AL009,139200.0,2700.0,966095.966362501,182886.0,1247983.55,136000.0
71,2006m10,BULLOCK,2006,10,AL,AL011,11900.0,,58932.78600000001,,84785.0,
72,2006m10,BUTLER,2006,10,AL,AL013,67300.0,,374951.8124999999,,564000.0,
73,2006m10,CALHOUN,2006,10,AL,AL015,496410.0,6300.0,4037631.375224974,433009.5,4996167.1,322000.0
74,2006m10,CHAMBERS,2006,10,AL,AL017,273400.0,2200.0,1670593.0875000001,174817.5,2426000.0,130000.0
75,2006m10,CHEROKEE,2006,10,AL,AL019,172310.0,800.0,1320385.7475,57824.25,1675025.0,43000.0
76,2006m10,CHILTON,2006,10,AL,AL021,162850.0,3200.0,1178979.505312501,168093.75,1527827.7500000002,125000.0
77,2006m10,CHOCTAW,2006,10,AL,AL023,47500.0,700.0,298957.61636249995,51100.5,415983.55,38000.0
78,2006m10,CLARKE,2006,10,AL,AL025,62270.0,600.0,370344.8629499997,37653.0,535709.2,28000.0
79,2006m10,CLAY,2006,10,AL,AL027,44750.0,,294709.4624999999,,393375.0,
80,2006m10,CLEBURNE,2006,10,AL,AL029,31800.0,100.0,219393.675,2689.5,299500.0,2000.0
81,2006m10,COFFEE,2006,10,AL,AL031,138700.0,700.0,845370.900000001,26895.0,1179000.0,20000.0
82,2006m10,COLBERT,2006,10,AL,AL033,347150.0,5900.0,2318964.1499999985,334842.75,3156000.0,249000.0
83,2006m10,CONECUH,2006,10,AL,AL035,55800.0,2500.0,337079.77199999994,121027.5,514570.0,90000.0
84,2006m10,COOSA,2006,10,AL,AL037,11090.0,,59717.820000000014,,91925.0,
85,2006m10,COVINGTON,2006,10,AL,AL039,205360.0,1100.0,1277859.509362501,69927.0,1791613.55,52000.0
86,2006m10,CRENSHAW,2006,10,AL,AL041,24380.0,,153916.81499999994,,220350.0,
87,2006m10,CULLMAN,2006,10,AL,AL043,415950.0,1800.0,2804937.514499996,73961.25,3787395.0,55000.0
88,2006m10,DALE,2006,10,AL,AL045,234560.0,1000.0,1464272.13,53790.0,2189700.0,40000.0
89,2006m10,DALLAS,2006,10,AL,AL047,98930.0,4200.0,662038.937000001,223228.5,862045.0,166000.0
90,2006m10,DE KALB,2006,10,AL,AL049,187310.0,2400.0,1417711.4627250019,151956.75,1775792.1,113000.0
91,2006m10,ELMORE,2006,10,AL,AL051,207980.0,1500.0,1431842.944725002,84719.25,1896887.1,63000.0
92,2006m10,ESCAMBIA,2006,10,AL,AL053,120200.0,2600.0,827152.494000001,108924.75,1096140.0,81000.0
93,2006m10,ETOWAH,2006,10,AL,AL055,781680.0,11900.0,6941370.437174999,818952.75,8304091.3,609000.0
94,2006m10,FAYETTE,2006,10,AL,AL057,35400.0,800.0,214788.9749999999,36308.25,298000.0,27000.0
95,2006m10,FRANKLIN,2006,10,AL,AL059,204620.0,2400.0,1248074.4120000012,103545.75,1765645.0,77000.0
96,2006m10,GENEVA,2006,10,AL,AL061,88400.0,700.0,602421.5625000001,34963.5,815250.0,26000.0
97,2006m10,GREENE,2006,10,AL,AL063,5090.0,100.0,25496.632500000003,5379.0,36925.0,4000.0
98,2006m10,HALE,2006,10,AL,AL065,22200.0,,109907.02500000001,,167500.0,
99,2006m10,HENRY,2006,10,AL,AL067,25550.0,100.0,182875.46250000002,5379.0,238875.0,4000.0
100,2006m10,HOUSTON,2006,10,AL,AL069,516730.0,4700.0,3404662.139999984,287776.5,4590475.0,214000.0
101,2006m10,JACKSON,2006,10,AL,AL071,168300.0,2500.0,1324745.5913625013,135819.75,1664733.55,101000.0
102,2006m10,JEFFERSON,2006,10,AL,AL073,3410175.0,51100.0,24059486.19335028,2940968.25,31884147.600000005,2187000.0
103,2006m10,LAMAR,2006,10,AL,AL075,51500.0,500.0,327833.6624999999,18826.5,456250.0,14000.0
104,2006m10,LAUDERDALE,2006,10,AL,AL077,313360.0,2400.0,2121804.255,116993.25,2857450.0,87000.0
105,2006m10,LAWRENCE,2006,10,AL,AL079,138250.0,200.0,931464.0750000008,5379.0,1287625.0,4000.0
106,2006m10,LEE,2006,10,AL,AL081,158890.0,2000.0,933742.7972250025,108924.75,1240587.1,81000.0
107,2006m10,LIMESTONE,2006,10,AL,AL083,459200.0,2100.0,2546645.809499993,146577.75,3864820.0,109000.0
108,2006m10,LOWNDES,2006,10,AL,AL085,5900.0,,40271.25,,56750.0,
109,2006m10,MACON,2006,10,AL,AL087,24660.0,100.0,174717.63000000006,10758.0,231200.0,8000.0
110,2006m10,MADISON,2006,10,AL,AL089,1278820.0,9700.0,9110744.262675023,519073.5,11710171.3,386000.0
111,2006m10,MARENGO,2006,10,AL,AL091,86900.0,1300.0,446908.58272499987,48411.0,702217.1,36000.0
112,2006m10,MARION,2006,10,AL,AL093,168570.0,3100.0,1226441.872500001,130440.75,1579775.0,97000.0
113,2006m10,MARSHALL,2006,10,AL,AL095,485960.0,5000.0,3346430.729999994,332153.25,4467950.0,247000.0
114,2006m10,MOBILE,2006,10,AL,AL097,1408794.0,22900.0,8838086.68098752,1280202.0,12487889.049999999,952000.0
115,2006m10,MONROE,2006,10,AL,AL099,47890.0,500.0,357989.18249999976,24205.5,467675.0,18000.0
